No.,lang1,lang2,cog,,Bats,Chechen,Ingush,Avar,Russian,Kazakh,Tajik,Tsakhur,Gloss,Hurrian,Urartian
179,шо,шу,1,,шо,шо,шу,сон,год,жыл,сол,йеш,year,шащали,шали
180,мӀаьла,мела,1,,чалмали,мӀаьла,мела,хинаб,тёплый,жылы,гарм,гулман,warm,,
181,шийла,шийла,1,,пше̄ли,шийла,шийла,цӀорораб,холодный,суық,хунук,микӀан,cold,,
182,дуьззина,диза,x,,дуцІи,дуьззина,диза,цӀураб,полный,толы,пур,гяцІийн,full,,
183,керла,керда,1,,цІин,керла,керда,цӀияб,новый,жаңа,нав,тезе,new,шухе,шухи
184,шира,шира,1,,тишӣ,шира,шира,хераб,старый,ескі,кӯҳна,йисен,old,,
185,дика,дика,1,,гІазе̄,дика,дика,лъикӀаб,хороший,жақсы,нағз,йуджун,good,,
186,буьрса,бирса,1,,мо̄сси,буьрса,бирса,ццидахараб,плохой,нашар,бад,писда,bad,,
187,дахкаделла,дохкаданна,1,,дахкІделн,дахкаделла,дохкаданна,махӀцараб,гнилой,шірік,пӯсида,хъыІчына,rotten,,
188,бӀеха,бIеха,1,,мутІо̄ре,бӀеха,бIеха,чорокаб,грязный,батпақты,чиркин,чапапин,dirty,,
189,нийса,нийса,1,,сцІо̄ри,нийса,нийса,битӀараб,прямой,түзу,рост,дюзуда,straight,,
190,горга,герга,1,,го̄гри,горга,герга,гургинаб,круглый,домалақ,гирд,гыргыран,round,,
191,ира,ира,1,,Іиру,ира,ира,бегӀераб,острый,өткір,тез,экІын,sharp (as a knife),,
192,аьрта,аьрхӀа,1,,бла̄гва,аьрта,аьрхӀа,гӀантаб,тупой,өтпеc,кунд,барада,dull (as a knife),,
193,шера,шаьра,1,,нипси,шера,шаьра,цӀвакараб,гладкий,тегіс,суфта,гьамаварын,smooth,,
194,тӀеда,тӀаьда,1,,тІІа̄тІе,тӀеда,тӀаьда,биччараб,мокрый,ылғал,тар,дуран,wet,,
195,декъа,дакъа,1,,лапсин,декъа,дакъа,бакъвараб,сухой,құрғақ,хушк,къурун,dry,,
196,бакъа,нийса,0,,нипси,бакъа,нийса,битӀараб,правильный,дұрыс,дуруст,дюзна,correct,,
197,уллера,уллув,1,,га̄рг,уллера,уллув,гӀагараб,близкий,жақын,наздик,кІане,near,,
198,генара,гаьнара,1,,чакх,генара,гаьнара,рикӀкӀадаб,далёкий,алыс,дур,акьаІна,far,,
199,аьтту,аьтта,1,,а̄тІтІих,аьтту,аьтта,кваранаб,правый,оң,рост,гьаттахъан,right,,
200,аьрру,аьрда,1,,а̄рлих,аьрру,аьрда,квегӀаб,левый,сол,чап,солун,left,,
201,гахь,,x,,чІа,гахь,,аскӀоб,при,-да/-де,ба,,at,,
202,чохь,чухьа,1,,чу,чохь,чухьа,лъулъ,в,-да/-де,дар,,in,,
203,ца,,x,,а,ца,,цадахъ,с,-мен,бо,,with,,
204,аъ,а,1,,йе,аъ,а,ва,и,және,у,йе,and,,
205,нагахь,нагахьасанна,x,,хьабакъеъ,нагахь,нагахьасанна,нагагь,если,-са/-се,агар,эгер,if,,
206,хӀундааьлча,хӀанааьлча,1,,да̄хеъ,хӀундааьлча,хӀанааьлча,щайгурони,потому,өйткені,чунки,чунки,because,,
207,цӀе,цӀи,1,,цIе,цӀе,цӀи,цӀар,имя,ат,ном,до,name,тийе,ти
,со,со,1,,,,,,,,,,,,
,хьо,хьо,1,,,,,,,,,,,,
,и,иза,x,,,,,,,,,,,,
,тхо,ве,0,,,,,,,,,,,,
,шу,шу,1,,,,,,,,,,,,
,уьш,о̄би,0,,,,,,,,,,,,
,х1ара,вуна̄х,0,,,,,,,,,,,,
,дӀора,вух,0,,,,,,,,,,,,
,кхузахь,укха̄з,0,,,,,,,,,,,,
,цигахь,,x,,,,,,,,,,,,
,мила,ме,x,,,,,,,,,,,,
,хӀу,вух,0,,,,,,,,,,,,
,мичахь,миче,1,,,,,,,,,,,,
,маца,маца,1,,,,,,,,,,,,
,муха,мохь,1,,,,,,,,,,,,
,ца,мо,0,,,,,,,,,,,,
,массо,вомаъ,0,,,,,,,,,,,,
,дукха,дукх,1,,,,,,,,,,,,
,масайтта,ме̄лъмеъ,0,,,,,,,,,,,,
,жиммала,кІадзакІ,0,,,,,,,,,,,,
,кхи,,x,,,,,,,,,,,,
,цхьаъ,цхька,1,,,,,,,,,,,,
,шиъ,ши,1,,,,,,,,,,,,
,кхоъ,къо,1,,,,,,,,,,,,
,диъ,дІивъ,1,,,,,,,,,,,,
,пхиъ,пхи,1,,,,,,,,,,,,
,доккха,даккхо̄,1,,,,,,,,,,,,
,деха,да̄ххе,1,,,,,,,,,,,,
,шуьйра,шо̄ри,1,,,,,,,,,,,,
,стомма,дарстІе̄,0,,,,,,,,,,,,
,деза,дацІӣ,1,,,,,,,,,,,,
,жима,кІацІкІо̄,0,,,,,,,,,,,,
,доца,да̄цу,1,,,,,,,,,,,,
,готта,котти,1,,,,,,,,,,,,
,дуьткъа,дутІкъи,1,,,,,,,,,,,,
,зуда,пстIуйн,0,,,,,,,,,,,,
,стаг,стIакI,1,,,,,,,,,,,,
,стаг,а̄дмие,0,,,,,,,,,,,,
,бера,бадер,1,,,,,,,,,,,,
,зуда,пстIуйн,0,,,,,,,,,,,,
,мар,мар,1,,,,,,,,,,,,
,нана,нан,1,,,,,,,,,,,,
,да,дад,1,,,,,,,,,,,,
,экха,а̄кх,1,,,,,,,,,,,,
,чӀара,чІа̄р,1,,,,,,,,,,,,
,олхазар,хьа̄цIукI,0,,,,,,,,,,,,
,жӀала,пхьу,0,,,,,,,,,,,,
,меза,мацI,1,,,,,,,,,,,,
,лаьхь,ла̄хь,1,,,,,,,,,,,,
,нӀана,нIан,1,,,,,,,,,,,,
,дитт,хе,0,,,,,,,,,,,,
,хьун,хьу,1,,,,,,,,,,,,
,дечиг,кІверт,0,,,,,,,,,,,,
,стом,хе̄хил,0,,,,,,,,,,,,
,хӀу,тесл,0,,,,,,,,,,,,
,гIа,по̄тол,0,,,,,,,,,,,,
,орам,дзир,0,,,,,,,,,,,,
,кевстиг,керк,0,,,,,,,,,,,,
,зезаг,бубукІ,0,,,,,,,,,,,,
,буц,да̄жар,0,,,,,,,,,,,,
,тӀийриг,токI,x,,,,,,,,,,,,
,чӀор,кхакха,0,,,,,,,,,,,,
,дилх,дитх,1,,,,,,,,,,,,
,цӀий,цIиг,1,,,,,,,,,,,,
,даьӀахк,дзол,0,,,,,,,,,,,,
,мохь,ко,0,,,,,,,,,,,,
,хӀоъ,гага,0,,,,,,,,,,,,
,мӀаӀ,мIаъ,1,,,,,,,,,,,,
,цӀога,мугI,0,,,,,,,,,,,,
,пелаг,бумбул,0,,,,,,,,,,,,
,мас,бедж,0,,,,,,,,,,,,
,корта,корт,1,,,,,,,,,,,,
,лерг,ларкI,1,,,,,,,,,,,,
,бӀаьрг,бIаркI,1,,,,,,,,,,,,
,мара,марлъ,1,,,,,,,,,,,,
,бага,бак,1,,,,,,,,,,,,
,церг,царкI,1,,,,,,,,,,,,
,мотт,мотIтI,1,,,,,,,,,,,,
,маӀар,мIайр,1,,,,,,,,,,,,
,кӀаж,тІерп,0,,,,,,,,,,,,
,ког,кокI,1,,,,,,,,,,,,
,гол,гоуг,1,,,,,,,,,,,,
,куьг,тІотІ,0,,,,,,,,,,,,
,тӀам,пIІа̄н,0,,,,,,,,,,,,
,гай,гагаъ,x,,,,,,,,,,,,
,чуьйраш,айхь,0,,,,,,,,,,,,
,ворт,сакIер,0,,,,,,,,,,,,
,букъ,сукІи,0,,,,,,,,,,,,
,накха,тIа̄р,0,,,,,,,,,,,,
,дог,докI,1,,,,,,,,,,,,
,доӀах,дIеъ,1,,,,,,,,,,,,
,мала,ме̄лъа,1,,,,,,,,,,,,
,даа,да̄къа,1,,,,,,,,,,,,
,цеста,царкІйалъа,x,,,,,,,,,,,,
,цӀубда,дакха,0,,,,,,,,,,,,
,туйкхосса,туйкхетта,1,,,,,,,,,,,,
,Ӏетто,докІре̄вадалар,0,,,,,,,,,,,,
,хӀупбаха,пуа̄лъар,0,,,,,,,,,,,,
,садеӀа,сунткада,x,,,,,,,,,,,,
,дела,де̄ла,1,,,,,,,,,,,,
,га,дага,x,,,,,,,,,,,,
,хаза,хацІа,1,,,,,,,,,,,,
,хаа,хаъа,1,,,,,,,,,,,,
,ойлайа,дакІлавар,0,,,,,,,,,,,,
,хьожйаяха,хьейчІйа̄лъа,x,,,,,,,,,,,,
,кхера,ге̄зол,0,,,,,,,,,,,,
,набйа,то̄хьа,0,,,,,,,,,,,,
,даха,динхилъа,x,,,,,,,,,,,,
,дала,дала,1,,,,,,,,,,,,
,вен,дІева,0,,,,,,,,,,,,
,лата,бухьба,0,,,,,,,,,,,,
,талла,не̄йдребадала,0,,,,,,,,,,,,
,тоха,те̄пха,x,,,,,,,,,,,,
,хадо,титІа,0,,,,,,,,,,,,
,декъа,дахькъе̄га,x,,,,,,,,,,,,
,,Iотта,x,,,,,,,,,,,,
,арсдан,дахе̄хадар,0,,,,,,,,,,,,
,ахка,ахкІа,1,,,,,,,,,,,,
,некада,цуладала,0,,,,,,,,,,,,
,тӀемадала,гапре̄надала,0,,,,,,,,,,,,
,лела,иха,0,,,,,,,,,,,,
,ва,даъа,0,,,,,,,,,,,,
,Ӏилла,чудиша,0,,,,,,,,,,,,
,хиъна1а,чуха̄ъа,0,,,,,,,,,,,,
,латта,ла̄тта,1,,,,,,,,,,,,
,хьийзда,го̄гихде̄рцІа,0,,,,,,,,,,,,
,дожа,ахьдо̄жа,x,,,,,,,,,,,,
,дала,далъа,1,,,,,,,,,,,,
,латто,дІе̄пІда,0,,,,,,,,,,,,
,Ӏовда,дахьхьачІкъа,0,,,,,,,,,,,,
,хьекха,дахьцІамда,0,,,,,,,,,,,,
,дила,дилда,1,,,,,,,,,,,,
,дӀахьакха,дахьцІамда,0,,,,,,,,,,,,
,озада,дахьоцІа,0,,,,,,,,,,,,
,татта,кодалъа,0,,,,,,,,,,,,
,кхосса,лакда,0,,,,,,,,,,,,
,дехка,дахьдоцІа,x,,,,,,,,,,,,
,тега,аба,0,,,,,,,,,,,,
,дагарда,де̄кІарда,1,,,,,,,,,,,,
,ала,а̄лъа,1,,,,,,,,,,,,
,лакха,мокха̄лъа,0,,,,,,,,,,,,
,ловза,ла̄пІцІа,1,,,,,,,,,,,,
,некада,химакдале̄ла,0,,,,,,,,,,,,
,ладар,ниагІвревиха,0,,,,,,,,,,,,
,гӀорада,,x,,,,,,,,,,,,
,деста,де̄стIен,1,,,,,,,,,,,,
,малх,матх,1,,,,,,,,,,,,
,бутт,бутт,1,,,,,,,,,,,,
,седа,тIIир,0,,,,,,,,,,,,
,хи,хи,1,,,,,,,,,,,,
,догӀа,къар,0,,,,,,,,,,,,
,ахк,хи,0,,,,,,,,,,,,
,Ӏам,губ,0,,,,,,,,,,,,
,хӀорд,згIва,0,,,,,,,,,,,,
,туьха,туйх,1,,,,,,,,,,,,
,кхер,кхер,1,,,,,,,,,,,,
,гӀум,квиш,0,,,,,,,,,,,,
,чан,бунгал,0,,,,,,,,,,,,
,латта,кве̄къа,0,,,,,,,,,,,,
,марха,гІрубел,0,,,,,,,,,,,,
,дохк,нисл,0,,,,,,,,,,,,
,стигал,ца,0,,,,,,,,,,,,
,мох,мох,1,,,,,,,,,,,,
,луо,лав,1,,,,,,,,,,,,
,ша,пша,1,,,,,,,,,,,,
,кӀур,кIур,1,,,,,,,,,,,,
,цӀе,цIе,1,,,,,,,,,,,,
,юккъ,йопIкъ,1,,,,,,,,,,,,
,даго,цІелата,0,,,,,,,,,,,,
,некъ,шāр,0,,,,,,,,,,,,
,лам,лам,1,,,,,,,,,,,,
,цӀе,цІІе̄ге,1,,,,,,,,,,,,
,баьццара,мцІва̄,0,,,,,,,,,,,,
,можа,кІа̄пІраш,0,,,,,,,,,,,,
,кӀай,кІуйи,1,,,,,,,,,,,,
,Ӏаьржа,Іа̄рчІин,1,,,,,,,,,,,,
,буьйса,буйса̄,1,,,,,,,,,,,,
,де,де,1,,,,,,,,,,,,
,шо,шо,1,,,,,,,,,,,,
,мӀаьла,чалмали,0,,,,,,,,,,,,
,шийла,пше̄ли,1,,,,,,,,,,,,
,дуьззина,дуцІи,1,,,,,,,,,,,,
,керла,цІин,0,,,,,,,,,,,,
,шира,тишӣ,0,,,,,,,,,,,,
,дика,гІазе̄,0,,,,,,,,,,,,
,буьрса,мо̄сси,0,,,,,,,,,,,,
,дахкаделла,дахкІделн,1,,,,,,,,,,,,
,бӀеха,мутІо̄ре,0,,,,,,,,,,,,
,нийса,сцІо̄ри,0,,,,,,,,,,,,
,горга,го̄гри,1,,,,,,,,,,,,
,ира,Іиру,1,,,,,,,,,,,,
,аьрта,бла̄гва,0,,,,,,,,,,,,
,шера,нипси,0,,,,,,,,,,,,
,тӀеда,тІІа̄тІе,1,,,,,,,,,,,,
,декъа,лапсин,0,,,,,,,,,,,,
,бакъа,нипси,0,,,,,,,,,,,,
,уллера,га̄рг,0,,,,,,,,,,,,
,генара,чакх,0,,,,,,,,,,,,
,аьтту,а̄тІтІих,1,,,,,,,,,,,,
,аьрру,а̄рлих,1,,,,,,,,,,,,
,гахь,чІа,0,,,,,,,,,,,,
,чохь,чу,x,,,,,,,,,,,,
,ца,а,x,,,,,,,,,,,,
,аъ,йе,x,,,,,,,,,,,,
,нагахь,хьабакъеъ,0,,,,,,,,,,,,
,хӀундааьлча,да̄хеъ,0,,,,,,,,,,,,
,цӀе,цIе,1,,,,,,,,,,,,
,со,со,1,,,,,,,,,,,,
,хьо,хьо,1,,,,,,,,,,,,
,из,иза,1,,,,,,,,,,,,
,тхо,ве,0,,,,,,,,,,,,
,шо,шу,1,,,,,,,,,,,,
,уж,о̄би,0,,,,,,,,,,,,
,ер,вуна̄х,0,,,,,,,,,,,,
,дӀавар,вух,0,,,,,,,,,,,,
,укхаз,укха̄з,1,,,,,,,,,,,,
,цига,,x,,,,,,,,,,,,
,мала,ме,x,,,,,,,,,,,,
,фу,вух,x,,,,,,,,,,,,
,мича,миче,1,,,,,,,,,,,,
,маца,маца,1,,,,,,,,,,,,
,мишта,мохь,1,,,,,,,,,,,,
,дац,мо,0,,,,,,,,,,,,
,деррига,вомаъ,0,,,,,,,,,,,,
,дукха,дукх,1,,,,,,,,,,,,
,масайтта,ме̄лъмеъ,x,,,,,,,,,,,,
,къеззига,кІадзакІ,1,,,,,,,,,,,,
,кхаво,,x,,,,,,,,,,,,
,цхьаъ,цхька,1,,,,,,,,,,,,
,шиъ,ши,1,,,,,,,,,,,,
,кхоъ,къо,1,,,,,,,,,,,,
,диъ,дІивъ,1,,,,,,,,,,,,
,пхиъ,пхи,1,,,,,,,,,,,,
,сийлахь,даккхо̄,0,,,,,,,,,,,,
,дIаьха,да̄ххе,1,,,,,,,,,,,,
,шера,шо̄ри,1,,,,,,,,,,,,
,сома,дарстІе̄,0,,,,,,,,,,,,
,деза,дацІӣ,1,,,,,,,,,,,,
,зIамига,кІацІкІо̄,0,,,,,,,,,,,,
,лоаца,да̄цу,0,,,,,,,,,,,,
,готта,котти,1,,,,,,,,,,,,
,диткъа,дутІкъи,1,,,,,,,,,,,,
,кхалсаг,пстIуйн,0,,,,,,,,,,,,
,маӀсаг,стIакI,0,,,,,,,,,,,,
,саг,а̄дмие,0,,,,,,,,,,,,
,бер,бадер,1,,,,,,,,,,,,
,сесаг,пстIуйн,0,,,,,,,,,,,,
,мар,мар,1,,,,,,,,,,,,
,нана,нан,1,,,,,,,,,,,,
,да,дад,1,,,,,,,,,,,,
,аькха,а̄кх,1,,,,,,,,,,,,
,чкъаьра,чІа̄р,x,,,,,,,,,,,,
,оалхазар,хьа̄цIукI,0,,,,,,,,,,,,
,жӀали,пхьу,0,,,,,,,,,,,,
,меза,мацI,x,,,,,,,,,,,,
,бIехал,ла̄хь,0,,,,,,,,,,,,
,нIана,нIан,1,,,,,,,,,,,,
,га,хе,0,,,,,,,,,,,,
,хьу,хьу,1,,,,,,,,,,,,
,гIадж,кІверт,0,,,,,,,,,,,,
,сом,хе̄хил,0,,,,,,,,,,,,
,ги,тесл,0,,,,,,,,,,,,
,гIа,по̄тол,0,,,,,,,,,,,,
,овла,дзир,0,,,,,,,,,,,,
,коаст,керк,0,,,,,,,,,,,,
,зиза,бубукІ,0,,,,,,,,,,,,
,буц,да̄жар,0,,,,,,,,,,,,
,муш,токI,0,,,,,,,,,,,,
,цIока,кхакха,0,,,,,,,,,,,,
,дулх,дитх,x,,,,,,,,,,,,
,цIий,цIиг,1,,,,,,,,,,,,
,тIехк,дзол,0,,,,,,,,,,,,
,мухь,ко,0,,,,,,,,,,,,
,фуъ,гага,0,,,,,,,,,,,,
,муIа,мIаъ,1,,,,,,,,,,,,
,цIог,мугI,0,,,,,,,,,,,,
,бедарг,бумбул,0,,,,,,,,,,,,
,мос,бедж,0,,,,,,,,,,,,
,корт,корт,1,,,,,,,,,,,,
,лерг,ларкI,1,,,,,,,,,,,,
,бIарг,бIаркI,1,,,,,,,,,,,,
,мераж,марлъ,1,,,,,,,,,,,,
,баге,бак,1,,,,,,,,,,,,
,царг,царкI,1,,,,,,,,,,,,
,мотт,мотIтI,1,,,,,,,,,,,,
,мIара,мIайр,1,,,,,,,,,,,,
,лаьпа,тІерп,0,,,,,,,,,,,,
,ког,кокI,1,,,,,,,,,,,,
,го,гоуг,1,,,,,,,,,,,,
,кулг,тІотІ,0,,,,,,,,,,,,
,ткъам,пIІа̄н,0,,,,,,,,,,,,
,гийг,гагаъ,0,,,,,,,,,,,,
,че,айхь,0,,,,,,,,,,,,
,фоарт,сакIер,0,,,,,,,,,,,,
,букъ,сукІи,0,,,,,,,,,,,,
,накха,тIа̄р,0,,,,,,,,,,,,
,дог,докI,1,,,,,,,,,,,,
,дийхк,дIеъ,x,,,,,,,,,,,,
,мал,ме̄лъа,1,,,,,,,,,,,,
,даа,да̄къа,1,,,,,,,,,,,,
,царгашетт,царкІйалъа,x,,,,,,,,,,,,
,Iувда,дакха,0,,,,,,,,,,,,
,тугашкхувса,туйкхетта,x,,,,,,,,,,,,
,Iеттаде,докІре̄вадалар,x,,,,,,,,,,,,
,хьекха,пуа̄лъар,0,,,,,,,,,,,,
,садаха,сунткада,x,,,,,,,,,,,,
,дела,де̄ла,1,,,,,,,,,,,,
,бIаргаго,дага,0,,,,,,,,,,,,
,хаза,хацІа,1,,,,,,,,,,,,
,ха,хаъа,1,,,,,,,,,,,,
,уйлае,дакІлавар,0,,,,,,,,,,,,
,хьажкхета,хьейчІйа̄лъа,x,,,,,,,,,,,,
,кхера,ге̄зол,0,,,,,,,,,,,,
,набе,то̄хьа,0,,,,,,,,,,,,
,даха,динхилъа,x,,,,,,,,,,,,
,ле,дала,x,,,,,,,,,,,,
,ве,дІева,x,,,,,,,,,,,,
,лата,бухьба,x,,,,,,,,,,,,
,тIакхе,не̄йдребадала,0,,,,,,,,,,,,
,тоха,те̄пха,x,,,,,,,,,,,,
,теда,титІа,1,,,,,,,,,,,,
,декъа,дахькъе̄га,x,,,,,,,,,,,,
,Ӏотта,Iотта,1,,,,,,,,,,,,
,секашдаха,дахе̄хадар,x,,,,,,,,,,,,
,ахка,ахкІа,1,,,,,,,,,,,,
,наькде,цуладала,x,,,,,,,,,,,,
,гIетта,гапре̄надала,0,,,,,,,,,,,,
,лела,иха,0,,,,,,,,,,,,
,ва,даъа,0,,,,,,,,,,,,
,алла,чудиша,0,,,,,,,,,,,,
,вагIа,чуха̄ъа,0,,,,,,,,,,,,
,латта,ла̄тта,1,,,,,,,,,,,,
,кхастра,го̄гихде̄рцІа,x,,,,,,,,,,,,
,тIадала,ахьдо̄жа,0,,,,,,,,,,,,
,,далъа,x,,,,,,,,,,,,
,лацца,дІе̄пІда,0,,,,,,,,,,,,
,,дахьхьачІкъа,x,,,,,,,,,,,,
,,дахьцІамда,x,,,,,,,,,,,,
,,дилда,x,,,,,,,,,,,,
,,дахьцІамда,x,,,,,,,,,,,,
,,дахьоцІа,x,,,,,,,,,,,,
,,кодалъа,x,,,,,,,,,,,,
,,лакда,x,,,,,,,,,,,,
,де,дахьдоцІа,x,,,,,,,,,,,,
,тега,аба,0,,,,,,,,,,,,
,,де̄кІарда,x,,,,,,,,,,,,
,ала,а̄лъа,1,,,,,,,,,,,,
,иллиала,мокха̄лъа,x,,,,,,,,,,,,
,ловза,ла̄пІцІа,1,,,,,,,,,,,,
,,химакдале̄ла,x,,,,,,,,,,,,
,,ниагІвревиха,x,,,,,,,,,,,,
,,,x,,,,,,,,,,,,
,деста,де̄стIен,1,,,,,,,,,,,,
,малх,матх,1,,,,,,,,,,,,
,бутт,бутт,1,,,,,,,,,,,,
,седкъа,тIIир,0,,,,,,,,,,,,
,хий,хи,1,,,,,,,,,,,,
,догӏа,къар,0,,,,,,,,,,,,
,хий,хи,1,,,,,,,,,,,,
,Iам,губ,0,,,,,,,,,,,,
,форд,згIва,0,,,,,,,,,,,,
,тух,туйх,1,,,,,,,,,,,,
,кхера,кхер,1,,,,,,,,,,,,
,гӀум,квиш,0,,,,,,,,,,,,
,дом,бунгал,0,,,,,,,,,,,,
,лаьтта,кве̄къа,0,,,,,,,,,,,,
,морх,гІрубел,0,,,,,,,,,,,,
,дохк,нисл,0,,,,,,,,,,,,
,сигале,ца,0,,,,,,,,,,,,
,мух,мох,1,,,,,,,,,,,,
,лоа,лав,1,,,,,,,,,,,,
,ша,пша,1,,,,,,,,,,,,
,кӏур,кIур,1,,,,,,,,,,,,
,цӀи,цIе,1,,,,,,,,,,,,
,йокъ,йопIкъ,1,,,,,,,,,,,,
,доагаде,цІелата,x,,,,,,,,,,,,
,никъ,шāр,0,,,,,,,,,,,,
,гув,лам,0,,,,,,,,,,,,
,цӏе,цІІе̄ге,1,,,,,,,,,,,,
,баьццара,мцІва̄,0,,,,,,,,,,,,
,ӏажагӏа,кІа̄пІраш,0,,,,,,,,,,,,
,кӀай,кІуйи,1,,,,,,,,,,,,
,Ӏаьржа,Іа̄рчІин,x,,,,,,,,,,,,
,бийса,буйса̄,1,,,,,,,,,,,,
,ди,де,1,,,,,,,,,,,,
,шу,шо,1,,,,,,,,,,,,
,мела,чалмали,0,,,,,,,,,,,,
,шийла,пше̄ли,x,,,,,,,,,,,,
,диза,дуцІи,1,,,,,,,,,,,,
,керда,цІин,0,,,,,,,,,,,,
,шира,тишӣ,0,,,,,,,,,,,,
,дика,гІазе̄,0,,,,,,,,,,,,
,бирса,мо̄сси,0,,,,,,,,,,,,
,дохкаданна,дахкІделн,1,,,,,,,,,,,,
,бIеха,мутІо̄ре,0,,,,,,,,,,,,
,нийса,сцІо̄ри,0,,,,,,,,,,,,
,герга,го̄гри,1,,,,,,,,,,,,
,ира,Іиру,1,,,,,,,,,,,,
,аьрхӀа,бла̄гва,0,,,,,,,,,,,,
,шаьра,нипси,0,,,,,,,,,,,,
,тӀаьда,тІІа̄тІе,1,,,,,,,,,,,,
,дакъа,лапсин,0,,,,,,,,,,,,
,нийса,нипси,x,,,,,,,,,,,,
,уллув,га̄рг,0,,,,,,,,,,,,
,гаьнара,чакх,0,,,,,,,,,,,,
,аьтта,а̄тІтІих,1,,,,,,,,,,,,
,аьрда,а̄рлих,1,,,,,,,,,,,,
,,чІа,x,,,,,,,,,,,,
,чухьа,чу,x,,,,,,,,,,,,
,,а,x,,,,,,,,,,,,
,а,йе,x,,,,,,,,,,,,
,нагахьасанна,хьабакъеъ,0,,,,,,,,,,,,
,хӀанааьлча,да̄хеъ,0,,,,,,,,,,,,
,цӀи,цIе,1,,,,,,,,,,,,
